loc,cbo,dit,fanIn,fanOut,lcom,noc,rfc,wmc,numberOfAttributes,numberOfAttributesInherited,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,numberOfVersionsUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,bug
96,7,2,1,6,10,0,53,27,1,0,5,45,0,1,1,3,4,1,1,29,17,7.25,26,14,6.5,3,3,0.75,103.714,3.29557,0
12,2,3,1,1,1,0,7,4,0,387,2,32,0,0,0,2,26,0,4,136,55,5.23077,136,55,5.23077,0,6,0.0,367.0,48.9181,0
34,11,2,0,11,1,0,28,7,1,1,2,14,1,0,0,0,36,0,5,176,17,4.88889,208,37,5.77778,-32,15,-0.8888889999999999,240.71400000000003,65.1428,0
217,14,3,0,14,136,0,104,49,7,0,17,21,7,7,0,10,10,0,4,106,55,10.6,138,53,13.8,-32,4,-3.2,194.571,49.8814,0
161,19,5,3,17,91,0,101,52,4,12,14,112,3,1,0,11,33,0,8,446,119,13.5152,310,110,9.39394,136,51,4.12121,335.286,170.02,0
50,7,1,1,6,15,0,30,10,8,0,6,0,8,0,0,6,3,0,2,12,11,4.0,21,20,7.0,-9,0,-3.0,158.286,113.893,1
34,4,2,1,3,21,0,19,7,2,1,7,4,2,1,0,5,5,0,3,154,71,30.8,19,12,3.8,135,71,27.0,61.1429,2.3302400000000003,0
40,2,1,1,1,15,0,15,8,1,0,6,9,1,0,0,6,11,2,3,78,14,7.090910000000001,63,14,5.72727,15,12,1.36364,90.7143,23.4853,0
395,15,2,3,12,666,0,170,92,6,42,37,310,1,2,5,32,29,0,3,2876,1767,99.1724,4032,2292,139.034,-1156,428,-39.8621,126.571,59.8261,1
9,52,1,52,0,91,12,14,3,1,0,14,9,0,0,0,14,14,0,2,50,13,3.5714300000000003,76,24,5.42857,-26,7,-1.85714,120.429,36.46,0
13,4,3,1,3,3,0,8,4,1,5,3,14,1,0,0,2,9,2,3,21,10,2.33333,8,2,0.8888889999999999,13,10,1.44444,128.286,15.1905,0
44,16,5,11,5,21,2,24,12,1,6,7,71,1,0,0,5,9,0,3,201,76,22.3333,65,34,7.22222,136,76,15.1111,151.143,26.2587,0
81,27,1,17,10,91,0,48,23,4,0,14,14,4,1,0,13,11,1,3,43,14,3.90909,45,20,4.09091,-2,4,-0.181818,48.7143,10.8339,0
15,4,1,1,4,1,0,11,3,2,0,2,9,2,0,0,2,3,0,2,5,4,1.66667,2,1,0.666667,3,3,1.0,45.8571,21.6286,0
560,20,1,4,16,378,0,246,142,17,0,28,8,3,6,9,6,74,0,10,1263,547,17.0676,961,547,12.9865,302,46,4.08108,329.0,59.7003,1
84,40,1,32,8,253,15,53,28,7,0,23,9,7,0,0,18,12,0,4,106,66,8.83333,22,9,1.83333,84,66,7.0,45.8571,25.0674,0
0,0,1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,18.8571,0.0,0
238,9,2,1,8,21,0,52,41,11,0,7,11,0,1,11,4,2,1,1,3,2,1.5,3,2,1.5,0,0,0.0,11.7143,1.71429,0
222,20,4,5,15,300,0,78,55,7,52,25,129,0,3,7,16,35,0,8,219,110,6.25714,49,7,1.4,170,106,4.85714,243.857,141.279,1
232,21,1,1,20,78,0,147,48,8,0,13,9,8,5,0,8,4,0,2,4,1,1.0,4,1,1.0,0,0,0.0,251.857,30.8571,0
43,2,1,0,2,3,0,12,5,3,0,3,9,2,0,0,3,4,0,1,17,9,4.25,11,6,2.75,6,5,1.5,47.5714,16.1513,0
28,1,1,1,0,6,0,11,8,3,0,4,0,2,1,0,1,2,0,1,4,4,2.0,1,1,0.5,3,3,1.5,45.8571,19.2857,0
0,1,2,1,0,0,2,1,0,0,0,1,21,0,0,0,1,2,0,2,2,1,1.0,2,1,1.0,0,0,0.0,64.0,14.2143,0
39,7,1,5,2,15,1,19,12,3,0,6,8,0,0,2,6,6,0,3,42,22,7.0,25,9,4.16667,17,17,2.83333,169.143,25.6633,0
15,2,2,0,2,10,0,7,5,0,4,5,17,0,0,0,5,8,0,2,12,4,1.5,9,2,1.125,3,3,0.375,50.4286,17.631,0
10,3,2,0,3,3,0,6,3,0,2,3,39,0,0,0,2,3,0,2,45,43,15.0,45,43,15.0,0,0,0.0,90.5714,10.9968,0
31,3,2,1,2,6,0,10,7,0,4,4,15,0,0,0,1,7,1,2,62,37,8.85714,55,36,7.8571399999999985,7,34,1.0,108.143,38.8387,0
34,3,2,1,2,10,1,23,5,1,0,5,32,1,0,0,4,16,0,3,40,9,2.5,25,7,1.5625,15,4,0.9375,61.2857,20.9464,0
588,29,2,2,28,595,0,234,177,27,0,35,18,14,23,0,8,35,1,5,2229,589,63.6857,794,236,22.6857,1435,589,41.0,114.857,13.3504,0
105,1,1,1,0,120,1,40,27,12,0,16,15,0,0,0,16,17,0,5,478,226,28.1176,487,226,28.6471,-9,9,-0.529412,367.0,41.4441,0
87,8,2,1,8,21,0,41,33,3,0,7,9,3,0,0,6,7,1,3,106,49,15.1429,131,84,18.7143,-25,19,-3.5714300000000003,108.143,47.5148,0
107,6,1,1,5,190,0,49,34,8,11,20,0,8,2,0,18,20,0,6,272,75,13.6,182,70,9.1,90,43,4.5,335.286,130.877,0
3,0,2,0,0,0,0,1,1,0,3,1,20,0,0,0,1,4,0,2,22,21,5.5,22,21,5.5,0,21,0.0,99.2857,17.6104,0
57,7,2,2,5,190,0,42,19,1,1,20,27,1,1,0,19,3,0,1,21,20,7.0,13,12,4.33333,8,8,2.66667,32.7143,1.71429,0
4,0,2,0,0,0,0,1,1,0,0,1,4,0,0,0,1,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,8.71429,0.0,0
3,8,1,7,1,1,1,3,1,0,0,2,9,0,0,0,2,4,0,3,9,4,2.25,3,1,0.75,6,3,1.5,72.5714,39.381,0
128,8,1,3,5,55,3,39,37,16,0,11,16,7,1,2,6,20,0,8,301,77,15.05,241,80,12.05,60,67,3.0,368.143,198.82,0
44,11,2,1,10,6,0,27,12,5,12,4,31,0,0,0,4,25,0,7,244,83,9.76,216,83,8.64,28,38,1.12,367.0,96.5269,0
23,4,1,4,0,21,0,8,7,4,0,7,0,3,0,0,7,3,0,1,13,11,4.33333,2,2,0.666667,11,11,3.66667,24.7143,9.69231,0
156,10,3,1,9,91,0,82,29,3,0,14,21,3,4,0,10,20,0,8,218,56,10.9,418,245,20.9,-200,31,-10.0,257.42900000000003,108.011,0
120,8,1,1,7,28,0,41,18,8,0,8,0,6,5,0,3,7,0,4,57,20,8.14286,90,34,12.8571,-33,0,-4.71429,194.0,103.602,0
4,1,2,1,0,0,0,1,1,1,10,1,13,0,0,1,0,9,0,4,44,22,4.88889,39,22,4.33333,5,5,0.555556,329.0,44.6526,1
6,2,2,2,0,3,0,3,2,1,0,3,20,1,0,0,3,4,0,2,4,2,1.0,4,3,1.0,0,1,0.0,32.7143,12.6429,0
90,11,4,0,11,171,0,47,24,0,1,19,73,0,0,0,9,11,0,3,106,29,9.63636,47,29,4.27273,59,24,5.36364,105.857,35.3693,0
108,7,3,2,5,120,0,59,27,7,95,16,73,4,0,0,6,38,0,7,526,195,13.8421,315,195,8.28947,211,91,5.5526300000000015,333.1430000000001,71.5997,0
156,10,3,5,6,171,0,73,40,10,95,19,73,6,0,0,7,56,0,7,904,218,16.1429,474,218,8.46429,430,132,7.67857,333.1430000000001,87.7539,0
62,26,5,17,9,78,0,35,14,4,2,13,72,4,0,0,12,19,0,7,136,91,7.157889999999999,131,99,6.89474,5,6,0.263158,335.286,127.958,1
37,6,2,1,5,3,0,22,11,6,8,3,22,6,0,0,3,9,0,2,63,33,7.0,70,54,7.77778,-7,8,-0.777778,70.7143,16.7075,0
27,11,1,10,1,15,0,12,10,2,0,6,6,0,0,2,6,2,0,2,11,11,5.5,5,5,2.5,6,6,3.0,183.857,148.0,0
37,1,1,1,0,28,0,18,19,4,3,8,10,4,2,0,5,3,0,2,15,11,5.0,17,13,5.66667,-2,0,-0.666667,187.429,111.552,0
116,14,1,2,14,28,0,61,29,8,0,8,12,4,1,0,6,14,1,2,203,45,14.5,74,16,5.28571,129,38,9.21429,178.857,20.4771,0
84,4,1,1,3,10,0,25,8,6,0,5,0,6,1,0,1,3,0,1,4,3,1.33333,4,3,1.33333,0,0,0.0,21.0,0.571429,0
79,7,5,1,7,15,0,36,23,3,5,6,53,3,0,0,1,6,0,2,91,40,15.1667,75,62,12.5,16,39,2.66667,32.7143,11.3124,0
18,3,1,2,1,6,0,8,4,0,0,4,9,0,0,0,4,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,42.2857,0.0,0
45,5,1,2,3,3,0,8,4,0,0,3,6,0,1,0,2,3,1,1,23,13,7.66667,17,17,5.66667,6,10,2.0,45.8571,7.92547,0
46,10,3,2,8,6,0,21,5,8,0,4,10,8,0,0,4,9,0,3,24,5,2.66667,18,5,2.0,6,3,0.666667,45.5714,17.8274,1
1200,25,2,1,24,1711,0,308,138,11,402,59,8,8,2,3,15,74,0,5,4391,1328,59.3378,4465,1328,60.3378,-74,34,-1.0,367.0,52.6632,0
10,3,6,0,3,3,0,7,3,0,0,3,20,0,0,0,3,2,1,2,2,2,1.0,3,3,1.5,-1,0,-0.5,95.5714,58.5714,0
33,9,1,9,0,45,0,10,10,9,0,10,18,6,0,0,6,1,0,1,1,1,1.0,1,1,1.0,0,0,0.0,29.8571,0.0,0
0,2,1,2,0,1,3,2,0,0,0,2,9,0,0,0,2,2,0,1,11,11,5.5,0,0,0.0,11,11,5.5,45.8571,19.2857,0
179,7,1,3,5,105,3,51,41,3,0,15,6,3,3,0,8,15,1,3,701,203,46.7333,255,126,17.0,446,203,29.7333,114.0,15.2189,1
49,13,1,8,6,45,2,30,14,2,0,10,9,2,0,0,8,14,0,2,104,38,7.42857,51,21,3.64286,53,17,3.78571,32.7143,11.4258,0
10,0,1,0,0,3,0,4,3,1,0,3,0,1,0,0,3,3,0,2,7,4,2.33333,7,4,2.33333,0,0,0.0,104.286,72.7755,0
28,8,1,3,5,3,0,18,8,1,0,3,9,1,0,0,3,10,0,2,25,11,2.5,63,31,6.3,-38,3,-3.8,32.7143,8.17143,0
85,3,2,2,1,28,0,22,14,5,4,8,18,5,0,0,6,17,0,4,293,116,17.2353,50,23,2.94118,243,116,14.2941,156.429,17.4651,0
8,1,1,1,0,0,0,1,1,6,0,1,9,0,0,6,1,1,1,1,0,0,0.0,0,0,0.0,0,0,0.0,7.42857,0.0,0
134,14,1,0,14,45,0,80,30,0,0,10,0,0,9,0,0,11,0,5,219,175,19.9091,202,158,18.3636,17,17,1.54545,335.286,197.595,1
354,16,1,3,14,210,0,163,112,9,0,21,8,0,18,9,3,48,0,7,1148,464,23.9167,1122,464,23.375,26,49,0.541667,367.0,82.3712,0
335,11,2,6,5,861,1,88,82,2,0,42,29,0,0,0,41,4,0,3,6,3,1.5,6,3,1.5,0,0,0.0,35.5714,25.381,0
12,2,1,1,1,1,0,5,2,2,0,2,0,2,0,0,1,9,0,3,104,45,11.5556,24,19,2.66667,80,45,8.88889,154.857,9.81319,0
11,1,2,1,0,6,0,4,4,1,3,4,12,0,0,1,4,3,0,3,8,6,2.66667,8,5,2.66667,0,1,0.0,143.857,50.5714,0
1340,46,1,21,27,946,0,567,396,43,5,44,21,8,10,8,28,128,0,9,5536,1358,43.25,3522,1358,27.5156,2014,449,15.7344,367.0,164.919,1
22,7,1,2,5,3,0,13,5,1,0,3,0,0,0,0,3,3,0,2,5,4,1.66667,2,1,0.666667,3,3,1.0,42.7143,19.6571,0
164,8,1,1,8,105,0,85,32,6,0,15,9,5,2,0,13,40,3,3,438,120,10.95,300,43,7.5,138,104,3.45,139.571,42.8969,0
102,12,1,9,3,21,0,44,41,0,0,7,9,0,3,0,4,8,0,3,49,29,6.125,16,9,2.0,33,29,4.125,46.0,7.446060000000001,0
32,6,2,4,2,15,0,18,6,1,0,6,13,1,0,0,6,2,0,2,4,3,2.0,3,2,1.5,1,1,0.5,14.0,5.25,0
97,18,3,1,17,55,0,72,25,2,1,11,41,1,3,0,3,26,0,6,233,55,8.96154,137,43,5.26923,96,53,3.69231,227.429,58.3875,0
240,11,2,4,7,253,0,89,72,14,2,23,39,13,8,1,14,12,0,4,430,295,35.8333,348,295,29.0,82,25,6.83333,90.5714,18.2093,0
0,7,1,7,0,6,4,4,0,0,0,4,9,0,0,0,4,6,0,2,18,5,3.0,15,5,2.5,3,3,0.5,45.8571,7.8571399999999985,0
123,6,3,1,5,36,0,26,34,3,135,9,67,0,0,3,2,9,0,3,28,8,3.11111,19,6,2.11111,9,2,1.0,169.571,35.3418,0
671,4,1,2,2,253,0,104,64,25,0,23,1,25,15,0,8,8,1,2,38,19,4.75,27,18,3.375,11,5,1.375,45.8571,21.9812,1
115,21,2,1,20,36,0,86,29,5,12,9,11,5,2,0,3,28,0,6,218,48,7.785710000000001,141,31,5.03571,77,39,2.75,182.286,46.6363,1
11,5,2,1,5,1,0,8,3,0,3,2,30,0,0,0,1,12,1,4,52,12,4.33333,50,15,4.16667,2,4,0.166667,231.429,59.2857,0
35,4,1,2,2,36,0,21,12,4,0,9,9,4,0,0,9,3,0,1,12,10,4.0,6,4,2.0,6,6,2.0,32.7143,1.71429,0
503,21,1,6,16,378,0,252,122,22,0,28,7,22,13,0,13,11,0,2,210,131,19.0909,171,121,15.5455,39,32,3.54545,127.857,7.572789999999999,1
72,3,6,0,3,15,0,16,18,1,385,6,79,0,1,1,5,26,0,4,226,101,8.69231,232,101,8.92308,-6,6,-0.230769,367.0,54.665,0
16,4,1,1,3,1,0,10,4,2,0,2,0,2,0,0,2,14,0,6,64,19,4.57143,51,19,3.64286,13,10,0.928571,335.286,163.783,0
14,5,7,5,0,10,0,6,5,0,5,5,157,0,0,0,5,4,0,2,104,50,26.0,4,4,1.0,100,50,25.0,151.143,4.6978,0
32,1,1,0,1,0,0,9,3,0,0,1,9,0,0,0,1,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,80.8571,0.0,0
97,5,3,1,4,78,0,42,20,3,95,13,73,2,0,0,3,45,0,8,411,146,9.13333,230,146,5.11111,181,61,4.02222,333.1430000000001,65.2517,0
3,1,2,1,0,0,0,1,2,1,0,1,26,1,0,0,1,10,0,3,38,26,3.8,37,26,3.7,1,26,0.1,97.8571,15.3421,0
142,13,5,1,12,10,1,65,49,5,392,5,93,0,0,5,4,46,0,9,293,35,6.36956,206,17,4.47826,87,35,1.8913,239.143,65.4832,0
43,7,2,1,6,3,0,17,3,6,0,3,28,5,0,0,1,17,0,7,190,66,11.1765,126,52,7.411760000000001,64,60,3.76471,331.714,147.751,0
106,11,2,3,8,105,2,36,37,5,0,15,27,3,0,0,14,17,0,2,123,38,7.235289999999999,68,19,4.0,55,23,3.23529,66.8571,13.0348,0
51,12,2,8,4,36,4,21,20,4,1,9,27,1,0,0,6,3,0,2,22,19,7.33333,19,16,6.33333,3,3,1.0,32.7143,3.2337700000000003,0
555,4,1,0,4,66,1,182,81,17,0,12,0,0,0,0,10,24,0,2,271,52,11.2917,241,42,10.0417,30,10,1.25,157.143,7.70901,0
107,7,2,1,6,21,0,41,12,2,0,7,17,2,1,0,6,36,3,2,171,21,4.75,185,15,5.13889,-14,10,-0.388889,164.0,71.3667,0
68,11,2,5,6,45,0,38,15,4,1,10,12,0,0,4,8,39,0,8,449,104,11.5128,403,104,10.3333,46,16,1.17949,329.0,41.8762,0
22,29,1,27,2,78,4,17,7,2,0,13,18,2,0,0,13,28,0,11,694,250,24.7857,282,51,10.0714,412,204,14.7143,368.143,162.464,1
68,11,5,1,11,36,0,41,18,1,71,9,279,0,0,1,7,65,0,8,646,64,9.93846,1489,625,22.9077,-843,34,-12.9692,328.1430000000001,96.705,0
17,1,1,1,0,10,0,11,5,1,0,5,0,1,0,0,5,2,1,2,4,4,2.0,4,4,2.0,0,0,0.0,95.5714,58.5714,0
41,4,1,4,0,45,1,15,11,6,0,10,18,3,0,3,0,7,0,5,101,55,14.4286,66,51,9.42857,35,52,5.0,246.857,137.30100000000002,0
174,18,2,1,17,28,0,72,60,0,0,8,29,0,4,0,2,15,0,5,125,31,8.33333,111,63,7.4,14,17,0.933333,227.429,86.8217,0
26,1,2,0,1,1,0,11,6,1,0,2,11,1,0,0,2,4,0,1,4,3,1.0,4,3,1.0,0,0,0.0,118.857,19.7143,0
98,15,1,4,12,21,0,67,29,2,0,7,6,1,4,0,3,20,0,6,246,90,12.3,199,54,9.95,47,36,2.35,201.143,76.975,0
23,2,1,1,1,3,0,19,7,1,0,3,0,1,0,0,3,8,0,2,13,4,1.625,12,4,1.5,1,3,0.125,90.0,46.956,0
43,1,1,1,0,55,1,11,11,0,0,11,8,0,0,0,0,14,0,4,279,92,19.9286,43,10,3.07143,236,88,16.8571,224.857,8.69329,0
14,4,2,2,2,3,0,5,5,2,0,3,15,2,0,0,2,9,0,4,12,4,1.33333,11,4,1.22222,1,1,0.111111,224.857,76.9405,0
279,19,4,1,18,630,0,140,56,7,0,36,17,7,21,0,15,4,0,2,236,175,59.0,90,83,22.5,146,172,36.5,85.0,12.431,0
85,17,1,2,15,15,0,41,21,5,0,6,6,5,2,0,3,5,2,2,38,20,7.6,36,35,7.2,2,14,0.4,71.8571,22.0226,0
51,3,1,0,3,105,0,27,17,0,0,15,9,0,0,0,15,5,0,2,8,4,1.6,5,2,1.0,3,3,0.6,71.8571,39.125,0
253,22,1,6,16,136,0,140,78,4,0,17,6,4,9,0,7,12,0,2,826,242,68.8333,268,86,22.3333,558,156,46.5,178.571,45.7523,0
111,5,1,1,5,55,0,52,35,7,0,11,6,6,6,0,3,11,0,3,186,51,16.9091,260,132,23.6364,-74,20,-6.72727,137.429,50.4654,1
0,1,1,1,0,0,4,1,0,0,0,1,18,0,0,0,0,8,0,2,13,5,1.625,9,4,1.125,4,4,0.5,110.714,55.5495,0
612,0,1,0,0,20706,0,204,204,0,0,204,212,0,0,0,204,11,0,3,234,205,21.2727,29,9,2.63636,205,205,18.6364,322.714,69.5672,1
350,12,3,1,11,861,0,195,111,16,7,42,67,16,2,0,40,41,0,6,696,83,16.9756,345,36,8.41463,351,61,8.56098,191.143,47.6605,1
214,23,2,2,23,55,0,104,36,11,1,11,19,11,5,0,5,46,0,3,534,121,11.6087,463,178,10.0652,71,91,1.54348,61.2857,17.9572,1
34,9,3,6,3,15,0,19,11,1,0,6,23,1,0,0,6,10,0,6,113,42,11.3,89,42,8.9,24,42,2.4,333.1430000000001,84.6068,0
123,10,1,1,9,66,0,39,32,3,0,12,6,3,4,0,8,5,0,2,58,26,11.6,109,60,21.8,-51,0,-10.2,95.0,31.399,0
31,2,1,1,1,6,1,15,12,2,0,4,0,2,0,0,4,10,0,5,52,18,5.2,38,20,3.8,14,11,1.4,263.42900000000003,112.464,0
79,4,3,1,3,21,0,28,24,3,0,7,17,3,1,0,6,2,0,2,7,6,3.5,6,5,3.0,1,1,0.5,193.286,80.0816,0
21,3,1,0,3,1,2,9,5,1,0,2,0,0,0,0,1,10,0,2,26,5,2.6,26,5,2.6,0,3,0.0,118.714,49.1593,0
88,10,3,6,4,91,0,47,22,6,95,14,76,3,0,1,4,39,0,6,734,162,18.8205,232,58,5.94872,502,162,12.8718,239.571,14.6339,0
73,16,5,7,10,21,0,41,21,1,6,7,71,1,1,0,5,15,0,3,310,98,20.6667,73,29,4.86667,237,98,15.8,151.143,19.8433,0
3,1,2,1,0,0,0,1,1,0,2,1,33,0,0,0,1,3,0,3,5,4,1.66667,5,4,1.66667,0,0,0.0,177.143,3.4571400000000003,0
82,10,7,3,7,171,0,41,23,5,3,19,92,5,0,0,16,25,0,8,152,49,6.08,179,67,7.16,-27,24,-1.08,258.857,78.625,1
29,5,1,1,4,3,1,19,5,1,0,3,9,1,0,0,2,6,0,2,19,13,3.16667,18,13,3.0,1,1,0.166667,32.7143,5.80451,0
29,4,1,4,0,21,0,7,7,5,0,7,9,0,0,5,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0
306,4,2,0,4,10,0,222,56,2,0,5,22,2,2,0,3,7,0,3,33,17,4.71429,32,17,4.57143,1,1,0.14285699999999998,191.71400000000003,7.502160000000001,1
23,1,2,1,0,15,0,7,7,2,1,6,28,2,0,0,5,6,0,2,10,4,1.66667,12,5,2.0,-2,3,-0.333333,92.4286,39.4143,0
44,3,1,0,3,3,0,12,7,1,0,3,9,1,0,0,3,2,1,2,0,0,0.0,0,0,0.0,0,0,0.0,190.571,0.0,0
16,1,1,1,0,3,0,5,7,8,0,3,18,1,1,0,2,8,0,4,167,96,20.875,115,96,14.375,52,32,6.5,121.571,66.6801,0
110,12,3,4,9,45,1,37,30,3,3,10,17,0,2,0,2,53,0,7,420,133,7.92453,382,133,7.20755,38,19,0.7169810000000001,367.0,88.0983,0
159,27,1,16,11,136,0,79,29,5,0,17,12,5,3,0,14,13,0,3,95,56,7.307689999999999,140,36,10.7692,-45,24,-3.4615400000000003,42.7143,6.16241,1
166,8,1,1,7,45,0,69,43,15,0,10,8,0,0,1,5,38,0,6,346,68,9.10526,237,54,6.23684,109,59,2.86842,324.571,163.814,1
60,11,2,8,3,120,5,34,16,4,2,16,41,0,0,0,2,2,0,1,21,21,10.5,51,51,25.5,-30,0,-15.0,6.0,0.0,0
79,6,2,4,2,15,0,18,10,11,0,6,15,11,0,0,0,3,0,2,129,124,43.0,127,124,42.3333,2,2,0.666667,70.8571,50.6622,0
212,25,5,1,24,136,0,117,50,2,2,17,73,2,6,0,8,38,0,8,715,146,18.8158,671,125,17.6579,44,82,1.15789,263.42900000000003,62.9702,0
15,2,2,0,2,10,0,7,5,0,4,5,17,0,0,0,5,9,0,2,16,4,1.77778,14,4,1.55556,2,3,0.222222,46.1429,14.7054,0
158,5,3,1,4,190,0,74,42,9,95,20,73,5,0,0,9,42,0,7,855,407,20.3571,606,407,14.4286,249,116,5.92857,333.1430000000001,61.1658,0
105,8,2,2,6,28,0,42,12,2,0,8,32,2,1,0,6,28,0,3,188,58,6.714289999999999,125,47,4.46429,63,13,2.25,62.8571,23.386,1
24,3,1,1,2,3,0,8,7,1,0,3,0,1,0,0,3,2,0,1,22,22,11.0,20,20,10.0,2,2,1.0,102.143,68.0,0
6,2,1,2,0,1,0,2,2,1,0,2,9,1,0,0,2,2,1,1,0,0,0.0,0,0,0.0,0,0,0.0,138.143,0.0,0
20,4,5,1,3,3,0,13,5,2,400,3,65,1,0,1,3,20,0,6,91,42,4.55,76,42,3.8,15,10,0.75,347.857,63.5369,0
49,4,1,2,3,6,0,17,14,5,0,4,9,4,1,0,3,9,0,2,86,67,9.55556,126,119,14.0,-40,7,-4.44444,90.4286,25.6213,0
166,6,3,1,5,105,0,76,41,3,95,15,73,2,0,0,5,51,0,8,765,349,15.0,572,349,11.2157,193,61,3.78431,333.1430000000001,44.4293,1
75,7,1,3,4,6,0,27,9,4,0,4,0,4,0,0,4,16,1,2,250,60,15.625,254,49,15.875,-4,17,-0.25,109.857,11.328,0
14,2,1,0,2,0,0,5,1,0,0,1,0,0,0,0,1,2,0,2,4,4,2.0,6,6,3.0,-2,0,-1.0,151.143,117.0,0
17,1,1,0,1,21,0,9,8,0,0,7,6,0,0,0,7,3,0,3,2,1,0.666667,2,1,0.666667,0,0,0.0,128.143,46.3571,0
85,9,1,7,2,36,0,36,21,3,28,9,9,3,2,0,7,25,0,9,244,47,9.76,129,26,5.16,115,33,4.6,335.286,147.82299999999995,0
19,2,1,0,2,0,0,12,3,1,0,1,9,0,0,1,1,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,80.8571,0.0,0
9,3,2,2,1,1,0,5,3,1,1,2,18,0,1,1,1,12,0,5,58,31,4.83333,52,31,4.33333,6,5,0.5,329.0,40.2143,0
81,8,1,1,7,36,0,47,20,2,0,9,15,2,1,0,8,7,0,4,32,13,4.57143,106,51,15.1429,-74,4,-10.5714,241.71400000000003,116.821,0
29,5,2,4,2,28,0,12,8,5,0,8,15,5,0,0,8,9,0,2,20,5,2.22222,20,5,2.22222,0,3,0.0,94.2857,34.0357,0
126,18,1,13,5,15,0,56,27,8,0,6,9,8,1,0,5,7,0,4,106,76,15.1429,47,33,6.714289999999999,59,43,8.42857,213.429,87.9016,0
3,1,3,1,0,0,1,1,1,0,1,1,15,0,0,0,1,5,0,2,5,2,1.0,4,2,0.8,1,1,0.2,32.7143,14.5429,0
38,4,1,2,2,10,0,15,5,3,0,5,0,3,0,0,1,13,0,6,79,19,6.0769199999999985,53,22,4.0769199999999985,26,9,2.0,227.429,129.101,0
12,4,1,2,2,1,0,8,3,3,0,2,10,2,0,1,2,1,0,1,1,1,1.0,1,1,1.0,0,0,0.0,62.7143,0.0,0
95,15,2,2,14,28,0,48,21,2,0,8,29,1,1,0,5,10,0,3,120,29,12.0,75,48,7.5,45,29,4.5,99.2857,26.8655,0
10,5,2,4,1,3,42,5,3,1,0,3,13,0,0,0,2,10,0,5,40,13,4.0,66,51,6.6,-26,9,-2.6,368.143,185.707,1
13,2,1,1,2,1,0,5,3,3,0,2,0,3,0,0,2,4,0,2,10,7,2.5,8,5,2.0,2,2,0.5,32.7143,8.22857,0
144,9,2,0,9,21,0,49,20,3,19,7,15,0,2,2,0,40,0,8,441,204,11.025,440,204,11.0,1,10,0.025,367.0,50.6838,0
60,7,1,2,5,6,0,27,15,2,0,4,0,2,0,0,4,19,0,3,147,47,7.736839999999999,184,82,9.68421,-37,16,-1.94737,57.8571,33.0709,0
1782,17,5,4,13,253,4,498,418,3,412,23,94,0,0,3,22,81,0,9,7934,1737,97.9506,7679,1737,94.8025,255,339,3.14815,367.0,118.127,0
64,13,1,0,13,3,0,42,7,8,0,3,45,8,2,0,0,4,0,1,13,7,3.25,1,1,0.25,12,7,3.0,103.714,38.0989,0
48,4,1,1,3,15,0,24,11,7,0,6,14,0,0,0,6,8,1,2,36,12,4.5,22,11,2.75,14,12,1.75,109.857,52.4722,0
30,5,2,2,3,3,0,10,9,0,8,3,19,0,0,0,3,21,0,5,65,16,3.09524,77,21,3.66667,-12,1,-0.571429,288.857,36.0571,0
7,1,3,1,0,1,0,3,2,1,23,2,28,1,0,0,2,6,0,2,23,10,3.83333,37,31,6.16667,-14,6,-2.33333,113.857,20.323,0
309,15,2,1,14,561,0,159,66,8,1,34,27,8,4,0,30,8,0,2,117,45,14.625,92,48,11.5,25,20,3.125,32.7143,7.11722,0
116,24,1,5,19,36,0,81,38,0,0,9,6,0,0,0,9,14,1,5,378,120,27.0,133,64,9.5,245,117,17.5,117.143,24.0718,0
34,5,2,1,4,6,0,15,5,3,0,4,8,2,0,0,4,19,0,6,391,281,20.5789,907,516,47.7368,-516,5,-27.1579,240.71400000000003,26.0142,0
32,7,3,2,5,10,0,24,9,0,2,5,15,0,3,0,2,15,0,6,91,29,6.0666699999999985,42,15,2.8,49,29,3.26667,187.429,34.697,1
127,18,6,3,15,91,3,61,29,0,53,14,170,0,1,0,10,43,0,6,409,105,9.51163,317,110,7.372089999999999,92,79,2.13953,367.0,133.861,1
105,11,1,2,9,21,0,55,25,7,0,7,9,7,3,0,4,11,0,3,38,9,3.45455,27,7,2.45455,11,9,1.0,41.1429,8.47368,0
109,3,2,1,2,3,0,29,40,4,1,3,17,0,0,0,2,19,3,2,63,19,3.31579,44,11,2.31579,19,8,1.0,137.286,67.0612,0
